"delegator_address","amount_uluna","amount_lunc"
"terra1v0qefa7aafrnwxx2s6g4dyk2c36ecm3c7z0nss","350000640603","350000.640603"
"terra1nkdwfph8gz4ywchze5fj767aj6s4mvpepm4pft","341456897981","341456.897981"
"terra16gcjgxe82fdy2xkq3ujvvdxvhugv5edqn25am5","330000000000","330000"
"terra1ja2p7sacy89n9dwjlw27hujz3x76c9xxhlfap2","299999999999","299999.999999"
"terra1492rxvgzjz6uxhsqlwneney5g562gter0kgwrp","295817645951","295817.645951"
"terra1vacwevhhyprna6hq9psumkx5djavlygh653rfc","295713487769","295713.487769"
"terra1dxqhzv8nv0x7ghsxp2wmuc4ws8yetv33fzhkx7","250000000000","250000"
"terra17z2prfmkhe9k26naspwwdkjrpx9q7puu7r6wgd","250000000000","250000"
"terra15hw0asds05xzfkhgm8zat6ta6rwgyquwr4cjnu","249875024997","249875.024997"
"terra13y3r6ruajhvgadkfl2sqy5fnj5f7aft28k0shk","213332554908","213332.554908"
"terra1gtnxfxkuxvxhld99ma9rcuefyyqlqhauk8xxp2","200100000000","200100"
"terra1wprmrmcl9yhevcjap3sept4ndyhwvy5ky6dw9n","200000000000","200000"
"terra1w68qflz23ar27hengmtmm2rul99gynenv32u6w","199980000000","199980"
"terra1dcfv54ee29mf7kpf7c7fn4ev8mg76vuxef4glp","192000000000","192000"
"terra1tw5a868d789n5lv7snycd727tljnutfug7dx6t","166032747519","166032.747519"
"terra19zj7r40wl7xcrdy35mquxy2wj7m83sjhhmvq03","144947066187","144947.066187"
"terra1mele6lprtpk62hhks9z2459vewd2pgc4dpspgy","135318386989","135318.386989"
"terra1l8n654zr4j4q726a5tqa4ld4duzk74ltcavevh","121019120522","121019.120522"
"terra1fu854kknk2tmvpksjr9yn7ggdjhy9tw3r5u24a","120744825699","120744.825699"
"terra1p2hafyynagqthkpvvyj6gtr3amgamqx7p77pnw","103000000000","103000"
"terra1gtsh6r8je2je8w832mpvr3z5z9ckwwv9mxw793","100271518065","100271.518065"
"terra1nuz02vtchd7wgvdz695dqj965y3n40wr9tlr8k","100000000000","100000"
"terra12djenuthdsfpfw27h7rluhphpyy9fdy3ed6es5","100000000000","100000"
